Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected
1/14/2006,3:45 p.m.,1/16/2006,5:30 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,High Winds,--,"142,315"
1/18/2006,3:16 p.m.,1/18/2006,6:34 p.m.,Southern and Central Maine,NPCC,Severe Storm,75,"63,000"
2/4/2006,1:34 a.m.,2/6/2006,12:01 a.m.,"Snohomish County, Washington",WECC,Strong Winds,150,"123,827"
2/4/2006,4:30 a.m.,2/8/2006,8:00  a.m.,Western Washington,WECC,Severe Windstorm,--,"140,000"
2/11/2006,9:00 p.m.,2/14/2006,11:00 p.m.,Baltimore Metropolitan and Central Maryland,RFC,Major Snow Storm,500,"180,000"
2/12/2006,12:06 a.m.,2/14/2006,5:44 p.m.,"Washington DC, Montgomery and Prince Georges Counties MD",RFC,Major Snow Storm,300,"60,000"
2/12/2006,2:00 a.m.,2/14/2006,4:00 p.m.,Entire Atlantic City Electric territory Southern New Jersey,RFC,Winter Snow/Ice Storm,80,"130,000"
2/12/2006,2:00 a.m.,2/13/2006,7:00 a.m.,Entire Delmarva Power service territory,RFC,Winter Snow/Ice Storm,50,"58,000"
2/12/2006,5:55 a.m.,2/12/2006,2:00 p.m.,Northern and Northwestern Virginia,RFC,Severe Snow Storm,250,"126,000"
2/16/2006,12:00 p.m.,2/10/2006,11:00 p.m.,"Muskegon, Michigan easterly to Bay City, Michigan",RFC,Severe Thunderstorm/ Snow/Ice Storm,100,"252,089"
2/16/2006,Ongoing,2/1g/2006,,North Dakota,MRO,Fuel Supply - Deficiency Coal Rail Transportation Interruption,"1,650",0
2/17/2006,4:32 a.m.,2/17/2006,12:00 p.m.,Upstate New York,NPCC,Severe Weather,250,"200,000"
2/18/2006,8:50 a.m.,2/18/2006,4:09 p.m.,Colorado,WECC,Inadequate Electric Resources to Serve Load,428,-
2/27/2006,6:25 p.m.,2/27/2006,2:30 p.m.,Northern and Central California,WECC,Severe Winter Storm,-,"160,000"
3/9/2006,2:00 p.m.,3/9/2006,10:00 p.m.,"Arkansas, Mississippi, Louisiana, Southeast Texas",SERC,Severe Weather,N/A,"73,000"
3/12/2006,8:30 p.m.,3/12/2006,12:00 p.m.,"Springfield, Illinois and vicinity",RFC,Severe Weather,200,"65,400"
4/2/2006,9:00 p.m.,4/2/2006,4:25 a.m.,Southern half of Indiana,RFC,Major Storms/Tornadoes,"1,000","186,000"
4/7/2006,8:43 a.m.,4/7/2006,9:29 a.m.,Island of Puerto Rico,PR,Voltage Reduction/Load Shed,116,"54,700"
4/8/2006,4:00 a.m.,4/8/2006,11:00 a.m.,North and Central Alabama and Northern Georgia areas,SERC,Severe Weather/ Tornadoes,300,"115,589"
4/17/2006,3:25 p.m.,4/17/2006,7:30 p.m.,ERCOT Region of Texas,ERCOT,Load Shed/Declared EECP,"1,000","200,000"
4/17/2006,4:10 p.m.,4/17/2006,6:11 p.m.,System-wide greater Houston metro area (and across ERCOT),ERCOT,Load Shed/Made Public Appeals/Rolling Blackouts,260,"68,000"
4/17/2006,4:11 p.m.,4/17/2006,7:20 p.m.,North and East Texas,ERCOT,Load Shed/ Declared EECP,380,"489,478"
4/17/2006,4:20 p.m.,4/17/2006,6:30 p.m.,State of Texas (all of Austin Energy),ERCOT,Load Shed/Made Public Appeals/Rolling Blackouts,37- 40,"8,000 -10,000"
4/17/2006,4:35 p.m.,4/17/2006,6:10 p.m.,AEP Texas Central/Texas North,ERCOT,Load Shed/Declared EECP,108,"51,404"
4/21/2006,7:00 a.m.,4/21/2006,10:00 a.m.,System-wide greater Houston metro area,ERCOT,Severe Weather,219,"82,000"
4/29/2006,2:55 p.m.,4/29/2006,3:45 p.m.,Island of Puerto Rico,PR,Lightning Storm,237,"164,105"
5/3/2006,3:30 p.m.,5/3/2006,9:35 p.m.,City of Bakersfield area,WECC,Transmission Equipment Failure/Fire,300,"55,655"
5/4/2006,2:12 p.m.,5/4/2006,2:45 p.m.,Island of Puerto Rico,PR,Load Shed,140,"94,639"
5/19/2006,3:13 p.m.,5/19/2006,10:30 p.m.,"San Francisco Bay area, California",WECC,Lightning Strike,133,-
5/25/2006,7:50 p.m.,5/27/2006,9:00 a.m.,"Southwest Ohio, Northern Kentucky, Central Indiana",RFC,Severe Weather,800,"210,000"
6/1/2006,2:12 p.m.,6/1/2006,6:09 p.m.,Island of Oahu,HECO,Load Shed,120,"29,300"
6/1/2006,6:00 p.m.,6/3/2006,9:00 a.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,Severe Weather,N/A,"111,555"
6/1/2006,6:30 p.m.,6/3/2006,2:00 p.m.,Central Maryland,RFC,Severe Thunderstorms,335,"70,000"
6/11/2006,6:00 p.m.,6/11/2006,9:00 p.m.,"Charlotte, North Carolina Metropolitan area",SERC,Severe Thunderstorm,70,"72,000"
