Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
1/1/2022,12:36 PM,1/1/2022,2:12 PM,Washington: Thurston County;,WECC," Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency.",System Operations,0,0
1/1/2022,12:36 PM,1/2/2022,7:43 PM,Washington: Thurston County;,WECC," Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency.",System Operations,0,0
1/1/2022,1:01 AM,Unknown,Unknown,Georgia: Clayton County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
1/1/2022,12:06 AM,1/1/2022,5:51 AM,New Hampshire: Merrimack County;,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,2,845
1/2/2022,1:21 PM,1/2/2022,5:38 PM,California: Tuolumne County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather,3,1706
1/3/2022,12:45 PM,1/3/2022,12:46 PM,Washington: Thurston County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
1/3/2022,5:00 AM,1/4/2022,6:00 PM,South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,60424
1/3/2022,5:30 AM,1/4/2022,12:30 PM,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,142000
1/3/2022,1:00 AM,1/3/2022,2:00 PM,Georgia: Alabama: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,283,40885
1/5/2022,12:32 PM,1/5/2022,12:45 PM,Massachusetts: Plymouth County;,NPCC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,0,0
1/8/2022,2:20 AM,1/12/2022,7:40 AM,Florida: Citrus County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
1/8/2022,6:07 PM,1/8/2022,10:26 PM,New Hampshire: Merrimack County;,NPCC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,0,0
1/8/2022,2:56 AM,1/8/2022,3:03 AM,"Texas: Cameron County, Willacy County;",TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,0,0
1/9/2022,6:08 PM,Unknown,Unknown,Mississippi: Adams County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Unknown,Unknown
1/12/2022,9:20 AM,1/12/2022,10:25 AM,Indiana: Kentucky: Ohio:,SERC/RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Unknown,Unknown
1/13/2022,4:00 PM,1/13/2022,4:01 PM,Massachusetts: Hampden County[13];,NPCC,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Suspicious Activity,0,0
1/14/2022,1:50 PM,1/14/2022,2:13 PM,Pennsylvania: Bucks County;,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,0,0
1/14/2022,8:34 AM,1/14/2022,8:42 AM,Texas: Potter County; New Mexico:,TRE/WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
1/15/2022,2:09 PM,1/15/2022,2:28 PM,New York: Orange County;,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
1/16/2022,12:05 PM,1/17/2022,8:45 AM,North Carolina: Jackson County; South Carolina: Greenville County;,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,51289
1/16/2022,1:15 PM,1/16/2022,5:15 PM,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,74638
1/16/2022,5:15 AM,1/17/2022,12:06 AM,Georgia: Alabama:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,436,61113
1/18/2022,10:22 PM,1/18/2022,10:23 PM,Texas: Harris County;,TRE,Cyber Security Incident that was an attempt to compromise a High or Medium Impact Bulk Electric System Cyber System or their associated Electronic Access Control or Monitoring Systems,Cyber Event,0,0
1/19/2022,2:35 PM,1/19/2022,4:02 PM,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
1/20/2022,7:57 PM,1/21/2022,5:30 AM,Mississippi: Arkansas: Louisiana: Texas:,TRE/SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Severe Weather,0,0
1/20/2022,9:00 AM,1/20/2022,9:59 AM,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
1/23/2022,12:37 AM,1/23/2022,12:42 AM,Pennsylvania: Westmoreland County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
