Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
1/4/2008,4:00 AM,1/14/2008,5:00 PM,Northern California,WECC,,Winter Storm,500,2606931
1/4/2008,7:47 AM,1/4/2008,4:30 PM,Sacramento County,WECC,,Severe Storm,300,150000
1/29/2008,5:00 AM,1/29/2008,12:17 PM,"San Francisco Bay Area, California",WECC,,Exciter Faulted,0,0
1/29/2008,4:00 PM,2/3/2008,8:00 a.m ,"Arkansas, Mississippi, North Louisiana",SERC,,Severe Thunderstorms,0,110000
1/29/2008,10:00 PM,2/1/2008,6:30 PM,Southeastern Michigan,RFC,,Wind/Ice Storm,0,86915
1/29/2008,11:23 PM,1/30/2008,12:48 AM,"South Metropolitan Areas of Dayton, OHio",RFC,,High Winds,380,45000
1/30/2008,3:06 AM,2/1/2008,2:50 PM,"Western, New York",NPCC,,High Winds,50,54316
2/1/2008,6:00 AM,2/1/2008,7:49 AM,"San Francisco Bay Area, California",WECC,,Equipment Faulted,0,0
2/2/2008,3:58 AM,2/2/2008,4:27 PM,"San Francisco Bay Area, California",WECC,,Equipment Faulted,0,0
2/5/2008,10:00 PM,2/6/2008,3:00 AM,State of Kentucky,SERC,,Severe Weather,0,76000
2/6/2008,9:00 AM,2/6/2008,11:00 AM,Mid to West Tennessee,SERC,,Severe Weather,0,57000
2/9/2008,11:59 AM,2/9/2008,3:33 PM,"Near Arnold, California",WECC,,Electrical System Separation,0,0
2/10/2008,4:00 AM,2/12/2008,8:43 PM,"Southwestern Pennsylvania, West Virginia, Virginia, Maryland",RFC,,Severe Weather,412,100969
2/10/2008,11:00 AM,2/10/2008,11:36 PM,"Virginia, West Virginia, Ohio, Pennsylvania",RFC,,High Winds,0,212560
2/10/2008,11:00 AM,2/14/2008,5:05 PM,Virginia and West Virginia Area of AEP,RFC,,High Winds,0,97342
2/10/2008,2:06 PM,2/10/2008,11:36 PM,Dominion Service Territory,SERC,,High Winds,170,114618
2/10/2008,6:02 PM,2/11/2008,4:00 AM,"Greenboro, North Carolina and I-40 Corridor",SERC,,High Winds,300,50718
2/12/2008,3:00 PM,2/15/2008,5:00 PM,"Arkansas, Mississippi, Louisiana",SERC,,Severe Weather,0,54000
2/13/2008,6:43 PM,2/14/2008,12:00 PM,State of Maine,NPCC,,Ice Storm,50,50462
2/14/2008,8:15 AM,2/14/2008,10:46 AM,Utah,WECC,,Load Shedding,2818,74031
2/15/2008,3:06 PM,2/15/2008,7:36 PM,"Antioch, California",WECC,,Electrical System Separation,10,10008
2/25/2008,8:00 AM,3/12/2008,8:00 AM,Restricted Coal Capability,RFC,,Fuel Supply Deficiency,0,0
2/26/2008,5:00 AM,2/26/2008,3:00 PM,Southern Service Area/Alabama and Georgia,SERC,,Thunderstorms,484,145380
2/26/2008,1:09 PM,2/26/2008,2:10 PM,Various Cities in Florida,FRCC,,Under Frequency/Load Shedding,140,47661
2/26/2008,1:09 PM,2/26/2008,2:40 PM,Tampa Electric Service Territory,FRCC,,Under Frequency/Load Shedding,318,53965
2/26/2008,1:09 PM,2/26/2008,4:11 PM,Primary Dade County Florida,FRCC,,Transmission Equipment Failure,3200,584384
2/26/2008,1:09 PM,2/26/2008,1:47 PM,FRCC Region-West Coast Florida,FRCC,,Shed Firm Load,120,56000
2/26/2008,1:10 PM,2/26/2008,3:45 PM,"The entire PEF system was affected, including the following counties: Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osecola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla.",FRCC,,Under Frequency/Load Shedding,500,150000
3/4/2008,9:30 PM,3/4/2008,10:45 PM,North and South Carolina,SERC,,Thunderstorms,300,55267
3/8/2008,2:14 PM,3/8/2008,9:59 PM,Virginia and Eastern Part of North Carolina,SERC,,Windstorm,210,141130
3/8/2008,4:00 PM,3/10/2008,1:44 PM,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RFC,,Severe Weather,0,168449
3/15/2008,8:55 PM,3/16/2008,8:30 PM,Parts of Alabama and Georgia,SERC,,Major Storm,200,157744
4/4/2008,12:31 PM,4/4/2008,5:00 PM,"Arkansas, North Louisiana, Mississippi",SERC,,Severe Thunderstorms,0,122600
4/9/2008,4:00 PM,4/13/2008,1:15 AM,"North, Central and East Texas",TRE,,Severe Weather,0,488689
5/8/2008,10:21 AM,5/8/2008,12:56 AM,California,WECC,,Load Shedding,483,0
5/11/2008,6:00 AM,5/12/2008,2:30 PM,Georgia,SERC,,Severe Thunderstorms,100,80539
5/11/2008,4:50 PM,5/11/2008,8:43 PM,"City of Crawfordsville, Indiana",RFC,,Electric System Separation,47,9700
5/12/2008,12:01 AM,5/14/2008,12:00 AM,"Cape May, Cumberland, Gloucester, Salem, Camden, Atlantic, Burliington  Counties, New Jersey",RFC,,Severe Storm,55,135000
5/27/2008,2:02 PM,5/27/2008,3:52 PM,South West Connecticut,NPCC,,Lightning Storm,130,56400
5/30/2008,9:30 AM,5/30/2008,11:00 PM,Northern and Western Counties of Illinois,RFC,,Severe Storms,0,109000
5/30/2008,2:05 PM,5/30/2008,8:00 PM,South Louisiana,SERC,,"Load Shedding, Inadequate Electric Resources to Serve Load",250,0
5/30/2008,10:00 PM,6/4/2008,11:59 PM,"Northeastern Marion County, Indiana",RFC,,Severe Thunderstorms,0,70000
6/3/2008,5:00 PM,6/7/2008,11:00 PM,"Maryland, West Virginia, Virginia",RFC,,Severe Weather,634,157168
6/4/2008,3:00 PM,6/5/2008,1:00 AM,"Montgomery, Prince Georges,  Maryland, Washington, D.C.",RFC,,Lightning Storm,0,249408
6/4/2008,3:00 PM,6/7/2008,5:30 AM,Entire BGE Service Territory,RFC,,Severe Storms,0,108000
6/4/2008,3:04 PM,6/5/2008,9:30 PM,Northern Virginia,SERC,,Thunderstorms,850,253800
6/4/2008,3:14 PM,6/4/2008,3:46 p..m.,Island of Puerto Rico,PR,,Load Shedding/Voltage Reduction,90,100948
6/6/2008,3:18 PM,6/12/2008,8:00 AM,Lower 2/3 of Michigan's Lower Peninsula,RFC,,Lightning Storm,100,358000
6/8/2008,9:30 AM,6/9/2008,7:00 AM,The Entire ComEd Territory,RFC,,Severe Weather,0,125000
6/8/2008,6:00 PM,6/16/2008,11:30 PM,Southwestern Michigan (DECO Service Territory),RFC,,Severe Storm,500,150000
6/9/2008,2:00 PM,6/9/2008,7:00 PM,Entergy System,SERC,,Indequate Electric Resources to Serve Load,300,19
6/9/2008,2:52 PM,6/9/2008,8:25 PM,"Area Around West Orange Switching Station, New Jersey",RFC,,Fire/Breaker Failure,215,75654
6/10/2008,11:00 AM,6/13/2008,5:30 PM,Upstate New York,NPCC,,Severe Storm,400,68000
6/10/2008,2:00 PM,6/10/2008,6:00 PM,Entergy System,SERC,,Inadequate Electric Resources to Serve Load,300,19
6/10/2008,6:00 PM,6/14/2008,11:30 AM,"Bergen, Essex and Hudson Counties, New Jersey",RFC,,Severe Storms,0,248800
6/10/2008,7:00 PM,6/14/2008,3:59 PM,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RFC,,Severe Thunderstorms,0,198000
6/10/2008,11:00 PM,6/11/2008,9:00 AM,All Six New England States,NPCC,,Storm,50,60000
6/11/2008,1:15 PM,6/11/2008,2:05 PM,New York State,NPCC,,Uncontrolled Loss,200,61000
6/12/2008,3:30 PM,6/18/2008,4:00 PM,East Central Iowa,RFC,,Flooding and Uncontrolled Loss,200,21000
6/15/2008,8:00 AM,6/15/2008,8:00 PM,The Entire ComEd Territory,RFC,,Severe Weather,0,165000
6/15/2008,7:06 PM,6/15/2008,8:42 PM,"City of Crawfordsville, Indiana",RFC,,Electrical System Separation,57,9700
6/16/2008,4:15 PM,6/16/2008,11:19 PM,Northern Virginia,SERC,,Thunderstorms,1000,115000
6/17/2008,9:01 AM,6/19/2008,8:30 PM,"North, Central and East Texas",TRE,,Severe Thunderstorms,0,234393
6/17/2008,8:35 PM,6/18/2008,1:55 AM,Southwestern Public Service Company Operating in the Panhandle of Texas and New Mexico,SPP,,Electrical System Separation/Severe Thunderstorms,560,18000
6/17/2008,8:40 PM,6/17/2008,11:00 PM,"Texas Panhandle and Texas South Plains Regions, and Oklahoma Panhandle",TRE,,Thunderstorms/Uncontrolled Loss of Load,276,37330
6/21/2008,3:09 PM,6/21/2008,6:53 PM,"Near Rogers Flat, California",WECC,,Electrical System Separation/Severe Lightning Storms,3,477
6/22/2008,4:55 PM,6/22/2008,5:05 PM,Northwest Indiana,RFC,,Lightning Stirke/Uncontrolled Loss of Load,650,0
6/23/2008,1:44 PM,6/23/2008,1:45 PM,Northcentral Indiana,RFC,,Fire/Breaker Failure,425,0
6/23/2008,4:52 PM,6/23/2008,11:28 PM,"Pinellas County, Florida",FRCC,,Transmission Equipment Failure/Load Shedding,113,32593
6/26/2008,5:00 PM,6/26/2008,9:30 PM,Southeastern Michigan (DTE Service Territory),RFC,,Thunderstorms,0,53000
6/27/2008,4:30 PM,6/27/2008,5:30 PM,"Omaha, Nebraska (Metro Area)",MRO,,Severe Wind Storm,650,126000
7/1/2008,7:31 AM,7/1/2008,12:00 PM,"San Francisco Bay Area, California",WECC,,Unit Tripped,160,0
7/2/2008,3:00 PM,7/6/2008,12:00 PM,Lower 2/3 of Michigan's Lower Peninsula,RFC,,Severe Weather,125,239663
