Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
1/1/2018,6:21 PM,1/2/2018,6:11 PM,Tennessee:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,0,0
1/1/2018,5:43 PM,Unknown,Unknown,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,0,0
1/1/2018,9:37 PM,1/2/2018,10:30 AM,Tennessee:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,System Operations,0,0
1/2/2018,10:00 AM,2/12/2018,8:00 AM,New York: Niagara County;,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,675,0
1/2/2018,7:30 AM,Unknown,Unknown,South Carolina:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,0,717000
1/2/2018,6:45 AM,1/2/2018,9:00 AM,North Carolina: South Carolina:,SERC,System-wide voltage reductions of 3 percent or more,Severe Weather,14998,0
1/4/2018,1:49 AM,1/4/2018,2:09 AM,Texas: Midland County;,TRE,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack,0,500
1/12/2018,1:08 PM,1/12/2018,2:53 PM,"Michigan: Midland County, Genesee County;",RF,Cyber event that causes interruptions of electrical system operations,System Operations,41,23007
1/15/2018,4:20 AM,1/18/2018,5:48 AM,Texas:,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,0,0
1/16/2018,3:00 PM,1/18/2018,1:00 PM,Tennessee:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,Severe Weather,0,0
1/16/2018,3:00 PM,1/18/2018,1:00 PM,Tennessee: Shelby County;,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,System Operations,0,0
1/16/2018,1:57 PM,1/16/2018,2:32 PM,Texas:,TRE,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather,0,0
1/17/2018,5:10 AM,1/17/2018,1:00 PM,Mississippi:,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system ,System Operations,1788,420000
