Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
1/5/2017,4:56 PM,1/5/2017,4:57 PM,Florida: Martin County;,FRCC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspected Physical Attack,0,0
1/8/2017,9:07 AM,1/13/2017,2:30 PM,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,106000
1/8/2017,11:59 PM,Unknown,Unknown,California,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,0,0
1/10/2017,7:30 PM,1/13/2017,2:30 PM,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,87000
1/15/2017,6:35 AM,1/15/2017,7:44 AM,California: Los Angeles County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Transmission Disruption,176,126000
1/15/2017,9:27 AM,1/17/2017,1:58 AM,Oklahoma: Harper County;,SPP,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather,1,788
1/18/2017,6:05 PM,1/19/2017,12:05 AM,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,75000
1/22/2017,4:15 AM,1/24/2017,2:00 PM,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,97,64000
1/22/2017,6:00 AM,Unknown,Unknown,California,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,0,0
1/22/2017,4:00 PM,1/23/2017,3:26 AM,Alabama: Georgia: Mississippi: Florida:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,100,29965
2/2/2017,1:04 AM,2/2/2017,5:00 AM,"New Mexico: Bernalillo County, Santa Fe County;",WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,Transmission Interruption,396,149223
2/2/2017,1:11 AM,Unknown,Unknown,New Mexico: Bernalillo County;,WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,Transmission Interruption,400,0
2/6/2017,1:00 AM,2/6/2017,7:30 PM,"Washington: Skagit County, King County, Kitsap County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,103000
