Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
1/9/2020,11:07 PM,1/9/2020,11:19 PM,Arkansas: Yell County;,SPP RE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,0,0
1/9/2020,8:45 PM,1/10/2020,9:23 PM,Washington: King County;,WECC,Cyber event that could potentially impact electric power system adequacy or reliability.,Suspicious Activity,0,0
1/9/2020,7:40 AM,1/9/2020,8:48 AM,Minnesota: North Dakota: Wisconsin:,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
1/9/2020,11:07 PM,1/9/2020,11:18 PM,Arkansas:,SPP RE,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,System Operations,0,0
1/10/2020,2:53 PM,Unknown,Unknown,Tennessee: Hamilton County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
1/11/2020,2:25 AM,1/11/2020,7:56 AM,Arkansas: Cross County;,SPP RE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather/Transmission Interruption,22,7541
1/11/2020,11:02 PM,1/12/2020,2:01 AM,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,0,66475
1/11/2020,3:30 AM,1/11/2020,5:30 PM,Arkansas: Texas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,0,68138
1/11/2020,1:20 PM,Unknown,Unknown,Tennessee:,SERC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,4,0
1/11/2020,12:50 PM,1/12/2020,1:33 PM,Alabama: Georgia: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,219,30715
1/12/2020,11:15 AM,1/12/2020,11:18 AM,Texas: Brazos County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
1/14/2020,12:00 AM,1/14/2020,1:00 AM,Florida: Alachua County;,FRCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
1/16/2020,11:06 AM,1/16/2020,11:36 AM,Texas: Harris County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
1/17/2020,5:28 AM,1/17/2020,10:13 AM,California: Humboldt County;,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather/Transmission Interruption,87,67864
1/20/2020,6:30 AM,1/20/2020,6:31 AM,California: Los Angeles County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
1/22/2020,2:57 AM,1/22/2020,3:17 AM,Nevada: Humboldt County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,7,3120
1/23/2020,11:30 PM,1/24/2020,12:39 AM,Florida: Manatee County;,FRCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0
1/24/2020,4:34 AM,Unknown,Unknown,California:,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0
1/27/2020,2:10 PM,1/27/2020,6:58 PM,North Dakota: South Dakota: Montana:,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,540,130000
1/30/2020,3:01 AM,1/30/2020,4:36 AM,North Dakota: Burleigh County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,75,0
1/31/2020,9:50 AM,2/3/2020,10:00 AM,California:,WECC,Cyber event that could potentially impact electric power system adequacy or reliability.,Suspicious Activity,0,0
2/6/2020,2:29 PM,2/7/2020,12:44 PM,North Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,0,284256
2/6/2020,1:30 PM,2/7/2020,8:08 PM,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,0,89500
2/7/2020,4:25 PM,2/8/2020,12:00 PM,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,0,123359
2/7/2020,2:42 PM,2/10/2020,9:25 AM,New York:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,0,7500
2/7/2020,11:00 AM,Unknown,Unknown,Pennsylvania:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,0,52000
2/7/2020,8:48 AM,Unknown,Unknown,Virginia: North Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,0,87000
2/8/2020,1:56 PM,2/8/2020,3:04 PM,California:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2/9/2020,9:30 AM,2/9/2020,9:40 PM,"California: Alameda County, Contra Costa County, El Dorado County, Nevada County, Placer County, Sierra County, Santa Clara County, Napa County, Marin County, Santa Cruz County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,500,145000
2/11/2020,2:53 AM,2/11/2020,1:30 PM,Texas: Sterling County;,TRE,Cyber event that could potentially impact electric power system adequacy or reliability.,System Operations,0,0
2/11/2020,7:13 AM,2/11/2020,4:00 PM,Oregon: Clackamas County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2/12/2020,7:36 AM,2/12/2020,8:53 AM,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2/13/2020,8:01 AM,2/13/2020,2:38 PM,Oregon:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2/17/2020,9:47 AM,2/17/2020,3:31 PM,Alabama: Chambers County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,97,0
2/17/2020,1:18 PM,2/20/2020,9:51 AM,Michigan: Eaton County;,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
